time,in_out,item
Sun Jul 30 15:03:15 2023,1,milktea
Sun Jul 30 15:03:18 2023,-1,milktea
Sun Jul 30 15:03:21 2023,1,milktea
Sun Jul 30 15:03:33 2023,1,greentea
Sun Jul 30 15:03:36 2023,-1,greentea
Sun Jul 30 15:03:39 2023,1,greentea
Sun Jul 30 15:03:44 2023,1,redtea
Sun Jul 30 15:03:44 2023,-1,redtea
Sun Jul 30 15:03:47 2023,-1,redtea
Sun Jul 30 15:03:48 2023,1,redtea
Sun Jul 30 15:03:48 2023,-1,redtea
Sun Jul 30 15:03:49 2023,1,redtea
Sun Jul 30 15:08:35 2023,1,redtea
Sun Jul 30 15:08:37 2023,-1,greentea
Sun Jul 30 15:08:49 2023,1,greentea
Sun Jul 30 15:08:54 2023,1,greentea
Sun Jul 30 15:08:57 2023,1,greentea
Sun Jul 30 17:27:58 2023,-1,greentea
Sun Jul 30 17:27:59 2023,1,greentea
Sun Jul 30 17:28:00 2023,-1,greentea
Sun Jul 30 17:28:02 2023,1,greentea
Sun Jul 30 19:16:05 2023,1,greentea
Sun Jul 30 19:16:06 2023,1,greentea
Sun Jul 30 19:16:07 2023,-1,greentea
Sun Jul 30 19:16:08 2023,1,greentea
Sun Jul 30 19:16:13 2023,-1,greentea
Sun Jul 30 19:16:15 2023,1,greentea
Sun Jul 30 19:16:17 2023,-1,greentea
Sun Jul 30 19:16:18 2023,1,greentea
Sun Jul 30 19:16:18 2023,-1,greentea
Sun Jul 30 19:16:19 2023,1,greentea
Sun Jul 30 19:16:19 2023,1,greentea
Sun Jul 30 19:16:19 2023,-1,greentea
